,time,friends_count,lat,long,language
0,07 28 16:58:48 2014,148,-37.97935827,145.05330569,en
1,07 28 16:59:43 2014,112,-37.83740582,144.99653022,en
2,07 28 17:00:02 2014,29,-37.97638889,145.05,et
3,07 28 17:02:37 2014,116,-37.8145954,145.2093681,en
4,07 28 17:02:47 2014,312,-37.8624047,145.1521522,en
5,07 28 17:03:36 2014,116,-37.8145955,145.2093681,en
6,07 28 17:05:24 2014,299,-37.8014443,144.96389185,en
7,07 28 17:06:50 2014,116,-37.8145969,145.2093705,en
8,07 28 17:08:48 2014,116,-37.8145959,145.2093684,en
9,07 28 17:21:06 2014,116,-37.8145953,145.2093721,en
10,07 28 17:23:22 2014,956,-37.67618181,145.02939625,en
11,07 28 18:50:17 2014,479,-38.13538193,145.13381942,en
12,07 28 23:50:16 2014,11,-37.8084287,144.9763689,en
13,07 28 23:52:01 2014,355,-37.69393447,144.87472278,en
14,07 28 23:52:10 2014,416,-37.72535412,144.88122256,en
15,07 28 23:52:49 2014,406,-37.84541502,145.04632629,en
16,07 28 23:55:06 2014,91,-37.77914544,144.72584453,en
17,07 28 23:55:30 2014,872,-37.95189044,145.08668369,en
18,07 28 23:56:14 2014,55,-37.81243226,144.96070785,en
19,07 28 23:56:17 2014,78,-37.80866,144.94893,en
20,07 28 23:56:37 2014,55,-37.81207242,144.96060877,nl
21,07 28 23:56:47 2014,943,-37.6703162,144.845962,en
22,07 28 23:57:49 2014,129,-37.83159921,144.78052104,tl
23,07 28 23:58:29 2014,189,-37.6954027,144.8828677,en
24,07 28 23:58:34 2014,506,-37.83906055,144.8565778,en
25,07 28 23:59:04 2014,16,-37.87689292,144.74226353,nl
26,07 28 23:59:08 2014,97,-37.9415818,145.0299547,fr
27,07 28 23:59:40 2014,1114,-37.815087,144.9582174,en
28,07 28 23:59:44 2014,949,-37.81675364,144.96618271,en
29,07 29 00:00:02 2014,429,-37.80766358,144.97844493,en
30,07 29 00:00:03 2014,29,-37.97638889,145.05,et
31,07 29 00:00:41 2014,73,-37.80251091,144.94958729,en
32,07 29 00:00:59 2014,943,-37.67027293,144.84603729,en
33,07 29 00:02:03 2014,154,-37.73478396,145.04619919,en
34,07 29 00:02:17 2014,400,-37.97169876,145.2184906,en
35,07 29 00:03:38 2014,116,-37.8203639,144.9575584,en
36,07 29 00:04:41 2014,171,-37.82707329,144.9664852,en
37,07 29 00:04:45 2014,468,-37.84002309,144.98573608,en
38,07 29 00:05:26 2014,284,-37.686804,144.848394,en
39,07 29 00:05:32 2014,515,-37.8076802,144.9636015,en
40,07 29 00:05:33 2014,65,-37.83689216,144.96649413,en
41,07 29 00:05:40 2014,1322,-37.5775285,144.7293759,en
42,07 29 00:06:28 2014,44,-37.71871567,145.10110474,en
43,07 29 00:06:42 2014,122,-38.09659267,145.28591031,en
44,07 29 00:07:28 2014,497,-37.80278685,144.95916008,en
45,07 29 00:08:52 2014,1042,-37.70815855,144.56980885,en
46,07 29 00:09:35 2014,653,-37.81621962,144.96027717,en
47,07 29 00:11:23 2014,521,-37.58150739,144.92097259,en
48,07 29 00:11:29 2014,402,-37.68076359,145.06261826,und
49,07 29 00:11:47 2014,207,-37.81030831,144.9687022,en
50,07 29 00:12:15 2014,521,-37.58153512,144.92100029,en
51,07 29 00:12:45 2014,334,-37.8619574,145.2392535,es
52,07 29 00:13:32 2014,1307,-37.7424896,145.1623214,en
53,07 29 00:14:21 2014,521,-37.58139891,144.92107649,en
54,07 29 00:14:41 2014,581,-37.8102116,144.9613446,en
55,07 29 00:15:06 2014,506,-37.83899735,144.85639654,en
56,07 29 00:17:03 2014,122,-38.0965006,145.285886,en
57,07 29 00:19:30 2014,89,-37.8865802,145.0430612,und
58,07 29 00:20:35 2014,44,-37.75949097,144.91447449,en
59,07 29 00:21:28 2014,293,-37.68636511,144.81287919,en
60,07 29 00:23:06 2014,719,-37.88601876,145.01571205,en
